City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,nizhniy tsasuchey,50.5167,115.1333,115.1333,98,50,1.47,RU,1674755860
140,broome,42.2506,-75.833,-75.833,73,100,4.92,US,1674755860
141,itarema,-2.9248,-39.9167,-39.9167,65,91,6.02,BR,1674755860
142,bafoulabe,13.8065,-10.8321,-10.8321,10,39,2.9,ML,1674755861
143,gamba,-2.65,10.0,10.0,81,99,1.55,GA,1674755861
144,vanimo,-2.6741,141.3028,141.3028,90,76,1.63,PG,1674755861
145,kashiwazaki,37.3667,138.55,138.55,94,100,3.71,JP,1674755862
146,dergachi,51.2328,48.7659,48.7659,78,83,3.39,RU,1674755862
147,kaeo,-35.1,173.7833,173.7833,97,100,7.74,NZ,1674755863
148,sitka,57.0531,-135.33,-135.33,98,100,2.67,US,1674755863
149,yola,9.2,12.4833,12.4833,28,0,2.06,NG,1674755863
150,victoria,22.2855,114.1577,114.1577,71,100,2.68,HK,1674755679
151,haines junction,60.7522,-137.5108,-137.5108,98,92,1.11,CA,1674755864
152,tacuarembo,-31.7333,-55.9833,-55.9833,37,74,4.92,UY,1674755568
153,kachug,53.9606,105.8817,105.8817,94,100,1.17,RU,1674755864
154,kupang,-10.1667,123.5833,123.5833,86,90,1.37,ID,1674755865
155,novopokrovka,49.8425,36.5477,36.5477,58,0,1.44,UA,1674755865
156,yellowknife,62.456,-114.3525,-114.3525,85,75,5.66,CA,1674755452
157,kavieng,-2.5744,150.7967,150.7967,73,100,3.82,PG,1674755866
158,dondo,-19.6094,34.7431,34.7431,77,29,4.03,MZ,1674755866
159,tuatapere,-46.1333,167.6833,167.6833,87,93,1.44,NZ,1674755866
160,vila velha,-20.3297,-40.2925,-40.2925,87,75,4.63,BR,1674755867
161,matamoros,25.5333,-103.25,-103.25,34,45,3.88,MX,1674755867
162,rorvik,64.8621,11.2373,11.2373,86,40,0.0,NO,1674755867
163,tiksi,71.6872,128.8694,128.8694,98,71,3.17,RU,1674755868
164,mount gambier,-37.8333,140.7667,140.7667,93,2,2.3,AU,1674755868
165,asau,46.4333,26.4,26.4,97,94,1.01,RO,1674755869
166,lasa,46.6166,10.7002,10.7002,73,57,2.71,IT,1674755869
167,oum hadjer,13.2954,19.6966,19.6966,9,99,3.42,TD,1674755869
168,urumqi,43.801,87.6005,87.6005,84,75,1.0,CN,1674755870
169,sao joaquim,-28.2939,-49.9317,-49.9317,60,54,1.37,BR,1674755870
170,whitehorse,60.7161,-135.0538,-135.0538,64,75,1.03,CA,1674755870
171,cayenne,4.9333,-52.3333,-52.3333,78,0,3.09,GF,1674755871
172,cherskiy,68.75,161.3,161.3,87,6,1.09,RU,1674755871
173,chuy,-33.6971,-53.4616,-53.4616,48,94,3.29,UY,1674755871
174,shimoda,34.6667,138.95,138.95,66,87,7.88,JP,1674755872
175,te anau,-45.4167,167.7167,167.7167,95,98,1.26,NZ,1674755872
176,alofi,-19.0595,-169.9187,-169.9187,94,20,0.51,NU,1674755873
177,flinders,-34.5833,150.8552,150.8552,87,84,2.24,AU,1674755873
178,riyadh,24.6877,46.7219,46.7219,74,100,5.47,SA,1674755742
179,lompoc,34.6391,-120.4579,-120.4579,75,0,0.45,US,1674755873
180,trinidad,-14.8333,-64.9,-64.9,62,75,5.66,BO,1674755874
181,mokokchung,26.3333,94.5333,94.5333,63,64,1.65,IN,1674755874
182,husavik,66.0449,-17.3389,-17.3389,92,100,5.26,IS,1674755874
183,san cristobal,7.7669,-72.225,-72.225,29,41,2.49,VE,1674755875
184,naze,28.3667,129.4833,129.4833,84,96,7.17,JP,1674755875
185,honiara,-9.4333,159.95,159.95,86,85,1.83,SB,1674755623
186,castro,-24.7911,-50.0119,-50.0119,38,4,2.46,BR,1674755876
187,qaanaaq,77.484,-69.3632,-69.3632,67,96,3.08,GL,1674755876
188,lebu,-37.6167,-73.65,-73.65,69,43,5.75,CL,1674755876
189,tahta,26.7693,31.5021,31.5021,22,35,0.61,EG,1674755877
190,nicoya,10.1483,-85.452,-85.452,44,40,7.65,CR,1674755877
191,erenhot,43.6475,111.9767,111.9767,77,0,5.17,CN,1674755878
192,iquitos,-3.7481,-73.2472,-73.2472,74,40,3.09,PE,1674755878
193,roebourne,-20.7833,117.1333,117.1333,54,3,3.82,AU,1674755879
194,kaitangata,-46.2817,169.8464,169.8464,77,100,2.15,NZ,1674755879
195,etaples,50.5219,1.6332,1.6332,87,75,4.12,FR,1674755879
196,cabo san lucas,22.8909,-109.9124,-109.9124,45,93,0.19,MX,1674755841
197,gambela,8.25,34.5833,34.5833,20,80,0.18,ET,1674755880
198,ouesso,1.6136,16.0517,16.0517,47,92,0.93,CG,1674755880
199,lavrentiya,65.5833,-171.0,-171.0,98,99,2.24,RU,1674755881
200,plettenberg bay,-34.0527,23.3716,23.3716,74,7,0.23,ZA,1674755881
201,severo-kurilsk,50.6789,156.125,156.125,91,100,3.9,RU,1674755882
202,kutum,14.2,24.6667,24.6667,13,51,4.52,SD,1674755882
203,sao miguel do araguaia,-13.275,-50.1628,-50.1628,88,100,1.28,BR,1674755883
204,richards bay,-28.783,32.0377,32.0377,82,12,2.43,ZA,1674755883
205,tiznit,29.5833,-9.5,-9.5,49,0,4.45,MA,1674755883
206,marmaris,36.855,28.2742,28.2742,78,78,9.52,TR,1674755884
207,bud,39.447,-86.1758,-86.1758,86,100,6.5,US,1674755884
208,nalut,30.3333,10.85,10.85,45,56,3.89,LY,1674755885
209,balabac,7.9868,117.0645,117.0645,85,99,7.46,PH,1674755885
210,matagami,49.7502,-77.6328,-77.6328,78,100,4.63,CA,1674755886
211,srivardhan,18.0333,73.0167,73.0167,67,0,3.88,IN,1674755886
212,awbari,26.5921,12.7805,12.7805,15,0,2.67,LY,1674755886
213,albany,42.6001,-73.9662,-73.9662,71,62,0.89,US,1674755848
214,hokitika,-42.7167,170.9667,170.9667,86,29,1.77,NZ,1674755819
215,khonsa,27.0167,95.5667,95.5667,62,84,1.82,IN,1674755887
216,pocone,-16.2567,-56.6228,-56.6228,50,62,2.45,BR,1674755887
217,hasaki,35.7333,140.8333,140.8333,57,100,5.18,JP,1674755888
218,komsomolskiy,40.4272,71.7189,71.7189,86,3,2.06,UZ,1674755888
219,hay river,60.8156,-115.7999,-115.7999,78,100,8.75,CA,1674755889
220,dunedin,-45.8742,170.5036,170.5036,82,100,1.54,NZ,1674755889
221,masuguru,-11.3667,38.4167,38.4167,98,100,1.65,TZ,1674755889
222,harwich,51.9419,1.2844,1.2844,83,29,4.47,GB,1674755890
223,esperance,-33.8667,121.9,121.9,75,55,4.29,AU,1674755890
224,bridlington,54.0831,-0.1919,-0.1919,79,78,7.87,GB,1674755890
225,vieux-habitants,16.0589,-61.7659,-61.7659,58,47,4.31,GP,1674755891
226,praia da vitoria,38.7333,-27.0667,-27.0667,67,20,6.28,PT,1674755891
227,amazar,53.858,120.875,120.875,99,49,1.36,RU,1674755892
228,nuuk,64.1835,-51.7216,-51.7216,72,100,4.47,GL,1674755892
229,sambava,-14.2667,50.1667,50.1667,89,100,3.81,MG,1674755892
230,kabalo,-6.05,26.9167,26.9167,88,54,1.56,CD,1674755893
231,ahipara,-35.1667,173.1667,173.1667,95,100,6.08,NZ,1674755893
232,algiers,36.7525,3.042,3.042,76,40,1.54,DZ,1674755894
233,honningsvag,70.9821,25.9704,25.9704,74,40,11.83,NO,1674755690
234,kyra,49.5776,111.9753,111.9753,90,38,1.79,RU,1674755894
235,batagay,67.6333,134.6333,134.6333,100,54,0.63,RU,1674755895
236,laguna,38.421,-121.4238,-121.4238,78,0,0.0,US,1674755759
237,moose factory,51.2585,-80.6094,-80.6094,84,100,3.6,CA,1674755895
238,aleksandrov gay,50.147,48.5704,48.5704,67,39,2.81,RU,1674755896
239,jizan,17.3333,42.6667,42.6667,72,13,2.91,SA,1674755896
240,louis trichardt,-23.0439,29.9032,29.9032,55,2,2.09,ZA,1674755896
241,gushikawa,26.3544,127.8686,127.8686,77,91,5.2,JP,1674755897
242,skibotn,69.3913,20.2679,20.2679,92,99,4.27,NO,1674755898
243,havre-saint-pierre,50.2334,-63.5986,-63.5986,86,100,12.86,CA,1674755898
244,college,64.8569,-147.8028,-147.8028,85,100,1.54,US,1674755899
245,codrington,-38.2667,141.9667,141.9667,89,5,3.56,AU,1674755899
246,billings,45.7833,-108.5007,-108.5007,47,100,7.15,US,1674755643
247,gayny,60.3071,54.3241,54.3241,93,100,4.25,RU,1674755900
248,lincoln,40.8,-96.667,-96.667,74,100,3.6,US,1674755579
249,dubbo,-32.25,148.6167,148.6167,60,53,5.66,AU,1674755901
250,malakal,9.5334,31.6605,31.6605,16,74,2.59,SS,1674755902
251,visby,57.6409,18.296,18.296,87,75,6.69,SE,1674755902
252,khandbari,27.3747,87.2039,87.2039,61,100,1.41,NP,1674755903
253,mokolo,10.7398,13.8019,13.8019,11,49,2.25,CM,1674755903
254,lagoa,39.05,-27.9833,-27.9833,72,7,8.52,PT,1674755903
255,marsh harbour,26.5412,-77.0636,-77.0636,73,0,4.85,BS,1674755904
256,labuhan,-6.8844,112.2051,112.2051,88,100,4.13,ID,1674755904
257,kudahuvadhoo,2.6708,72.8944,72.8944,75,39,4.48,MV,1674755905
258,tommot,58.9564,126.2925,126.2925,99,73,0.79,RU,1674755905
259,sept-iles,50.2001,-66.3821,-66.3821,95,100,9.26,CA,1674755862
260,sinnamary,5.3833,-52.95,-52.95,65,24,2.82,GF,1674755905
261,aykhal,66.0,111.5,111.5,100,100,3.27,RU,1674755906
262,almaty,43.25,76.95,76.95,85,20,2.0,KZ,1674755906
263,ilebo,-4.3167,20.5833,20.5833,69,69,0.3,CD,1674755907
264,isiro,2.7739,27.616,27.616,45,45,0.55,CD,1674755907
265,santa rosa de viterbo,-21.4728,-47.3631,-47.3631,53,1,2.63,BR,1674755907
266,saint-augustin,51.226,-58.6502,-58.6502,94,100,8.06,CA,1674755908
267,marystown,47.1666,-55.1483,-55.1483,86,100,9.99,CA,1674755908
268,bonavista,48.6499,-53.1147,-53.1147,79,76,8.41,CA,1674755909
269,cuiluan,47.72,128.648,128.648,99,100,0.56,CN,1674755909
270,biskamzha,53.4497,89.5272,89.5272,85,100,5.85,RU,1674755909
271,umm kaddadah,13.6017,26.6876,26.6876,14,96,5.8,SD,1674755910
272,olafsvik,64.8945,-23.7142,-23.7142,83,100,10.58,IS,1674755910
273,manowa,8.1667,-10.75,-10.75,61,93,1.15,SL,1674755911
274,mount isa,-20.7333,139.5,139.5,83,65,0.0,AU,1674755911
275,namie,37.4833,141.0,141.0,76,83,3.64,JP,1674755911
276,merauke,-8.4667,140.3333,140.3333,90,95,3.81,ID,1674755912
277,verkhnevilyuysk,63.4453,120.3167,120.3167,100,83,1.14,RU,1674755912
278,fiche,9.8,38.7333,38.7333,49,67,3.56,ET,1674755912
279,half moon bay,37.4636,-122.4286,-122.4286,46,0,4.12,US,1674755656
280,warrnambool,-38.3833,142.4833,142.4833,83,4,3.62,AU,1674755913
281,buin,-33.7333,-70.75,-70.75,23,0,4.9,CL,1674755913
282,beisfjord,68.3751,17.5988,17.5988,90,100,2.58,NO,1674755914
283,davidson,36.1501,-86.7833,-86.7833,78,100,5.14,US,1674755914
284,mulchen,-37.7167,-72.2333,-72.2333,21,83,3.09,CL,1674755915
285,maumere,-8.6199,122.2111,122.2111,84,91,3.03,ID,1674755915
286,souillac,-20.5167,57.5167,57.5167,100,75,1.54,MU,1674755899
287,acari,-15.4311,-74.6158,-74.6158,65,97,5.08,PE,1674755915
288,rawson,-43.3002,-65.1023,-65.1023,20,0,9.26,AR,1674755916
